,ID,N_DCODE,음식코드명
0,A601169401,144,잡곡밥
1,A601169401,144,잡곡밥
2,A601169401,144,잡곡밥
3,A601169401,144,잡곡밥
4,A601169401,144,잡곡밥
5,A601169401,144,잡곡밥
6,A601169401,144,잡곡밥
7,A601169401,144,잡곡밥
8,A601169402,144,잡곡밥
9,A601169402,144,잡곡밥
10,A601169402,144,잡곡밥
11,A601169402,144,잡곡밥
12,A601208501,144,잡곡밥
13,A601208501,144,잡곡밥
14,A601208501,144,잡곡밥
15,A601208501,144,잡곡밥
16,A601208501,144,잡곡밥
17,A601208501,144,잡곡밥
18,A601208501,144,잡곡밥
19,A601208501,144,잡곡밥
20,A601208501,144,잡곡밥
21,A601208501,144,잡곡밥
22,A601208501,144,잡곡밥
23,A601208501,144,잡곡밥
24,A601208501,144,잡곡밥
25,A601208501,144,잡곡밥
26,A601208501,144,잡곡밥
27,A601208502,144,잡곡밥
28,A601208502,144,잡곡밥
29,A601208502,144,잡곡밥
30,A601208502,144,잡곡밥
31,A601208502,144,잡곡밥
49,A602215301,144,잡곡밥
50,A602215301,144,잡곡밥
51,A602215301,144,잡곡밥
52,A602215301,144,잡곡밥
53,A602215301,144,잡곡밥
54,A602215301,144,잡곡밥
55,A602215301,144,잡곡밥
56,A602215301,144,잡곡밥
57,A602215301,144,잡곡밥
58,A602215301,144,잡곡밥
59,A602215301,144,잡곡밥
60,A602215301,144,잡곡밥
61,A602215301,144,잡곡밥
62,A602215301,144,잡곡밥
63,A602215301,144,잡곡밥
64,A602215301,144,잡곡밥
65,A602215302,144,잡곡밥
66,A602215302,144,잡곡밥
67,A602215302,144,잡곡밥
68,A602215302,144,잡곡밥
69,A602215302,144,잡곡밥
70,A602215302,144,잡곡밥
71,A602215302,144,잡곡밥
72,A602215302,144,잡곡밥
73,A602215302,144,잡곡밥
74,A602215302,144,잡곡밥
75,A602215302,144,잡곡밥
76,A602215302,144,잡곡밥
77,A602215302,144,잡곡밥
78,A602215302,144,잡곡밥
79,A602215302,144,잡곡밥
80,A602215302,144,잡곡밥
109,A602330901,144,잡곡밥
110,A602330901,144,잡곡밥
111,A602330901,144,잡곡밥
112,A602330901,144,잡곡밥
113,A602330901,144,잡곡밥
114,A602330901,144,잡곡밥
115,A602330901,144,잡곡밥
116,A602330901,144,잡곡밥
117,A602341101,144,잡곡밥
118,A602341101,144,잡곡밥
119,A602341101,144,잡곡밥
120,A602341101,144,잡곡밥
121,A602341101,144,잡곡밥
122,A602341101,144,잡곡밥
123,A602341101,144,잡곡밥
124,A602341101,144,잡곡밥
125,A602341102,144,잡곡밥
126,A602341102,144,잡곡밥
127,A602341102,144,잡곡밥
128,A602341102,144,잡곡밥
129,A602341102,144,잡곡밥
130,A602341102,144,잡곡밥
131,A602341102,144,잡곡밥
132,A602341102,144,잡곡밥
157,A603176201,144,잡곡밥
158,A603176201,144,잡곡밥
159,A603176201,144,잡곡밥
160,A603176201,144,잡곡밥
161,A603176201,144,잡곡밥
171,A603210201,144,잡곡밥
172,A603210201,144,잡곡밥
173,A603210201,144,잡곡밥
174,A603210201,144,잡곡밥
175,A603210201,144,잡곡밥
176,A603210201,144,잡곡밥
177,A603210201,144,잡곡밥
178,A603210201,144,잡곡밥
179,A603210201,144,잡곡밥
180,A603210201,144,잡곡밥
181,A603210201,144,잡곡밥
182,A603210201,144,잡곡밥
199,A603222101,144,잡곡밥
200,A603222101,144,잡곡밥
201,A603222101,144,잡곡밥
202,A603222101,144,잡곡밥
203,A603222101,144,잡곡밥
204,A603222101,144,잡곡밥
205,A603222101,144,잡곡밥
206,A603222101,144,잡곡밥
275,A603317301,144,잡곡밥
276,A603317301,144,잡곡밥
277,A603317301,144,잡곡밥
278,A603317301,144,잡곡밥
279,A603317301,144,잡곡밥
280,A603317301,144,잡곡밥
281,A603317301,144,잡곡밥
282,A603317301,144,잡곡밥
283,A603317301,144,잡곡밥
284,A603317301,144,잡곡밥
285,A603317301,144,잡곡밥
286,A603317301,144,잡곡밥
287,A603317301,144,잡곡밥
288,A603317301,144,잡곡밥
303,A603336001,144,잡곡밥
304,A603336001,144,잡곡밥
305,A603336001,144,잡곡밥
306,A603336001,144,잡곡밥
307,A603336001,144,잡곡밥
308,A603336001,144,잡곡밥
309,A603336001,144,잡곡밥
310,A603336001,144,잡곡밥
311,A603336001,144,잡곡밥
312,A603336001,144,잡곡밥
313,A603336001,144,잡곡밥
314,A603336001,144,잡곡밥
315,A603336001,144,잡곡밥
316,A603336001,144,잡곡밥
340,A604346201,144,잡곡밥
341,A604346201,144,잡곡밥
342,A604346201,144,잡곡밥
354,A604378501,144,잡곡밥
355,A604378501,144,잡곡밥
356,A604378501,144,잡곡밥
357,A604378501,144,잡곡밥
358,A604378501,144,잡곡밥
359,A604378501,144,잡곡밥
360,A604378501,144,잡곡밥
361,A604378501,144,잡곡밥
362,A604378501,144,잡곡밥
363,A604378501,144,잡곡밥
364,A604378501,144,잡곡밥
365,A604378501,144,잡곡밥
366,A604378502,144,잡곡밥
367,A604378502,144,잡곡밥
368,A604378502,144,잡곡밥
369,A604378502,144,잡곡밥
370,A604378502,144,잡곡밥
371,A604378502,144,잡곡밥
372,A604378502,144,잡곡밥
373,A604378502,144,잡곡밥
374,A604378502,144,잡곡밥
375,A604378502,144,잡곡밥
376,A604378502,144,잡곡밥
377,A604378502,144,잡곡밥
396,A604387002,144,잡곡밥
397,A604387002,144,잡곡밥
